"horarioInicial","local","mulheresPedestres","mulheresCiclistas","total"
"06:00","bobs",46,0,46
"06:00","jackson",46,0,46
"06:15","bobs",64,0,64
"06:15","burrinhos",17,0,17
"06:15","jackson",70,0,70
"06:30","bobs",73,1,74
"06:30","burrinhos",25,1,26
"06:30","jackson",59,7,66
"06:45","bobs",62,4,66
"06:45","burrinhos",37,1,38
"06:45","jackson",60,7,67
"07:00","bobs",64,3,67
"07:00","burrinhos",43,1,44
"07:00","jackson",45,2,47
"07:15","bobs",61,2,63
"07:15","burrinhos",27,0,27
"07:15","jackson",64,3,67
"07:30","bobs",54,3,57
"07:30","burrinhos",35,0,35
"07:30","jackson",56,1,57
"07:45","bobs",36,3,39
"07:45","burrinhos",27,0,27
"07:45","jackson",42,0,42
"08:00","bobs",32,2,34
"08:00","burrinhos",18,0,18
"08:00","jackson",35,1,36
"08:15","bobs",36,1,37
"08:15","burrinhos",30,0,30
"08:15","jackson",22,2,24
"08:30","bobs",14,2,16
"08:30","burrinhos",27,0,27
"08:30","jackson",32,2,34
"08:45","bobs",16,2,18
"08:45","burrinhos",16,0,16
"08:45","jackson",17,3,20
"09:00","bobs",3,1,4
"09:00","burrinhos",37,0,37
"09:00","jackson",17,1,18
"09:15","bobs",7,1,8
"09:15","burrinhos",11,0,11
"09:15","jackson",12,0,12
"09:30","bobs",13,0,13
"09:30","burrinhos",15,1,16
"09:30","jackson",10,0,10
"09:45","bobs",5,0,5
"09:45","burrinhos",19,0,19
"09:45","jackson",17,2,19
"10:00","bobs",5,0,5
"10:00","burrinhos",23,0,23
"10:00","jackson",8,3,11
"10:15","bobs",5,0,5
"10:15","burrinhos",15,0,15
"10:15","jackson",7,0,7
"10:30","bobs",3,0,3
"10:30","burrinhos",21,0,21
"10:30","jackson",6,1,7
"10:45","bobs",11,1,12
"10:45","burrinhos",21,0,21
"10:45","jackson",9,0,9
"11:00","bobs",13,0,13
"11:00","burrinhos",28,0,28
"11:00","jackson",8,0,8
"11:15","bobs",2,0,2
"11:15","burrinhos",22,0,22
"11:15","jackson",2,0,2
"11:30","bobs",4,0,4
"11:30","burrinhos",35,0,35
"11:30","jackson",23,0,23
"11:45","bobs",1,0,1
"11:45","burrinhos",34,0,34
"11:45","jackson",7,0,7
"12:00","bobs",11,0,11
"12:00","burrinhos",15,0,15
"12:00","jackson",10,0,10
"12:15","bobs",6,0,6
"12:15","burrinhos",16,0,16
"12:15","jackson",2,0,2
"12:30","bobs",8,0,8
"12:30","burrinhos",15,0,15
"12:30","jackson",2,0,2
"12:45","bobs",17,0,17
"12:45","burrinhos",28,0,28
"12:45","jackson",2,0,2
"13:00","bobs",6,1,7
"13:00","burrinhos",27,0,27
"13:00","jackson",4,0,4
"13:15","bobs",18,0,18
"13:15","burrinhos",26,0,26
"13:15","jackson",24,0,24
"13:30","bobs",12,0,12
"13:30","burrinhos",23,0,23
"13:30","jackson",10,0,10
"13:45","bobs",2,0,2
"13:45","burrinhos",20,0,20
"13:45","jackson",5,0,5
"14:00","bobs",11,0,11
"14:00","burrinhos",10,0,10
"14:00","jackson",11,0,11
"14:15","bobs",16,0,16
"14:15","burrinhos",23,0,23
"14:15","jackson",10,0,10
"14:30","bobs",11,0,11
"14:30","burrinhos",23,1,24
"14:30","jackson",12,0,12
"14:45","bobs",7,0,7
"14:45","burrinhos",26,0,26
"14:45","jackson",15,0,15
"15:00","bobs",15,0,15
"15:00","burrinhos",28,2,30
"15:00","jackson",4,1,5
"15:15","bobs",9,1,10
"15:15","burrinhos",41,0,41
"15:15","jackson",5,1,6
"15:30","bobs",20,1,21
"15:30","burrinhos",22,1,23
"15:30","jackson",11,1,12
"15:45","bobs",33,4,37
"15:45","burrinhos",40,0,40
"15:45","jackson",17,0,17
"16:00","bobs",59,3,62
"16:00","burrinhos",40,0,40
"16:00","jackson",9,2,11
"16:15","bobs",38,7,45
"16:15","burrinhos",37,1,38
"16:15","jackson",39,5,44
"16:30","bobs",24,4,28
"16:30","burrinhos",45,0,45
"16:30","jackson",53,4,57
"16:45","bobs",81,3,84
"16:45","burrinhos",40,1,41
"16:45","jackson",63,11,74
"17:00","bobs",116,7,123
"17:00","burrinhos",55,0,55
"17:00","jackson",53,3,56
"17:15","bobs",82,9,91
"17:15","burrinhos",36,0,36
"17:15","jackson",83,6,89
"17:30","bobs",113,9,122
"17:30","burrinhos",32,0,32
"17:30","jackson",73,4,77
"17:45","bobs",79,4,83
"17:45","burrinhos",28,0,28
"17:45","jackson",75,6,81
"18:00","bobs",86,0,86
"18:00","burrinhos",54,0,54
"18:00","jackson",56,2,58
"18:15","bobs",79,1,80
"18:15","burrinhos",47,0,47
"18:15","jackson",77,7,84
"18:30","bobs",69,0,69
"18:30","burrinhos",31,0,31
"18:30","jackson",60,3,63
"18:45","bobs",60,0,60
"18:45","burrinhos",35,0,35
"18:45","jackson",82,2,84
"19:00","bobs",64,0,64
"19:00","burrinhos",25,1,26
"19:00","jackson",66,0,66
"19:15","bobs",52,1,53
"19:15","burrinhos",4,0,4
"19:15","jackson",63,0,63
"19:30","bobs",39,1,40
"19:30","burrinhos",11,0,11
"19:30","jackson",63,0,63
"19:45","bobs",22,2,24
"19:45","burrinhos",9,1,10
"19:45","jackson",40,2,42
"20:00","bobs",14,3,17
"20:00","burrinhos",6,0,6
"20:00","jackson",25,1,26
"20:15","bobs",9,0,9
"20:15","burrinhos",5,1,6
"20:15","jackson",23,0,23
"20:30","bobs",15,2,17
"20:30","burrinhos",4,0,4
"20:30","jackson",24,0,24
"20:45","bobs",11,0,11
"20:45","burrinhos",7,11,18
"20:45","jackson",17,0,17